date,total_individuals,total_adults,total_children
2013-10,1524989,867570,657419
2013-11,1406768,809821,596947
2013-12,1530454,869299,661155
2013-8,546547,311746,234801
2013-9,1408014,802017,605997
2014-1,1595561,907066,688495
2014-10,1314520,746453,568067
2014-11,1920942,1091450,829492
2014-12,1821084,1035977,785107
2014-2,1470306,840027,630279
2014-3,1567034,890571,676463
2014-4,1580442,898729,681713
2014-5,1646038,936643,709395
2014-6,1393640,791487,602153
2014-7,1682936,956090,726846
2014-8,1699869,966532,733337
2014-9,1563482,888719,674763
2015-1,1872987,1073809,799178
2015-2,1444885,829909,614976
